 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 19, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/9He_900mb_CF4_95-5.txt

 Ion = Helium [2] , Mass = 9.04395 amu

 Target Density =  2.9667E-04 g/cm3 = 4.6754E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    002.33    009.53   
      F      9    009.30    060.15   
      H      1    088.37    030.32   
 ====================================
 Bragg Correction = -4.31%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  12.00 MeV   2.568E-02  1.539E-05  301.76 mm    11.41 mm     3.53 mm  
  13.00 MeV   2.416E-02  1.433E-05  341.90 mm    12.77 mm     3.83 mm  
  14.00 MeV   2.283E-02  1.341E-05  384.46 mm    14.14 mm     4.16 mm  
  15.00 MeV   2.164E-02  1.261E-05  429.44 mm    15.53 mm     4.50 mm  
  16.00 MeV   2.058E-02  1.190E-05  476.80 mm    16.94 mm     4.87 mm  
  17.00 MeV   1.962E-02  1.127E-05  526.55 mm    18.37 mm     5.27 mm  
  18.00 MeV   1.876E-02  1.071E-05  578.65 mm    19.82 mm     5.68 mm  
  20.00 MeV   1.742E-02  9.747E-06  689.25 mm    25.30 mm     6.56 mm  
  22.50 MeV   1.585E-02  8.769E-06  839.67 mm    33.12 mm     7.77 mm  
  25.00 MeV   1.460E-02  7.977E-06    1.00 m     40.54 mm     9.09 mm  
  27.50 MeV   1.354E-02  7.321E-06    1.18 m     47.77 mm    10.52 mm  
  30.00 MeV   1.264E-02  6.769E-06    1.37 m     54.96 mm    12.05 mm  
  32.50 MeV   1.186E-02  6.298E-06    1.58 m     62.16 mm    13.69 mm  
  35.00 MeV   1.118E-02  5.891E-06    1.79 m     69.42 mm    15.43 mm  
  37.50 MeV   1.058E-02  5.535E-06    2.02 m     76.74 mm    17.26 mm  
  40.00 MeV   1.005E-02  5.221E-06    2.27 m     84.14 mm    19.20 mm  
  45.00 MeV   9.140E-03  4.694E-06    2.79 m    112.11 mm    23.35 mm  
  50.00 MeV   8.394E-03  4.267E-06    3.36 m    138.35 mm    27.88 mm  
  55.00 MeV   7.769E-03  3.914E-06    3.98 m    163.94 mm    32.77 mm  
  60.00 MeV   7.238E-03  3.617E-06    4.64 m    189.34 mm    38.02 mm  
  65.00 MeV   6.781E-03  3.363E-06    5.36 m    214.80 mm    43.62 mm  
  70.00 MeV   6.382E-03  3.144E-06    6.12 m    240.45 mm    49.57 mm  
  80.00 MeV   5.721E-03  2.785E-06    7.77 m    336.08 mm    62.48 mm  
  90.00 MeV   5.193E-03  2.501E-06    9.61 m    425.14 mm    76.72 mm  
 100.00 MeV   4.761E-03  2.272E-06   11.62 m    512.08 mm    92.26 mm  
 110.00 MeV   4.401E-03  2.083E-06   13.80 m    598.67 mm   109.08 mm  
 120.00 MeV   4.096E-03  1.924E-06   16.16 m    685.75 mm   127.14 mm  
 130.00 MeV   3.834E-03  1.788E-06   18.68 m    773.77 mm   146.42 mm  
 140.00 MeV   3.606E-03  1.671E-06   21.37 m    862.96 mm   166.92 mm  
 150.00 MeV   3.406E-03  1.569E-06   24.22 m    953.47 mm   188.60 mm  
 160.00 MeV   3.229E-03  1.479E-06   27.24 m      1.05 m    211.46 mm  
 170.00 MeV   3.071E-03  1.399E-06   30.41 m      1.14 m    235.47 mm  
 180.00 MeV   2.930E-03  1.328E-06   33.74 m      1.23 m    260.62 mm  
 200.00 MeV   2.685E-03  1.206E-06   40.87 m      1.60 m    314.32 mm  
 225.00 MeV   2.437E-03  1.082E-06   50.65 m      2.11 m    387.63 mm  
 250.00 MeV   2.234E-03  9.824E-07   61.36 m      2.60 m    467.64 mm  
 275.00 MeV   2.066E-03  9.000E-07   73.00 m      3.08 m    554.17 mm  
 300.00 MeV   1.923E-03  8.308E-07   85.54 m      3.56 m    647.08 mm  
 325.00 MeV   1.801E-03  7.718E-07   98.97 m      4.04 m    746.20 mm  
 350.00 MeV   1.696E-03  7.209E-07  113.27 m      4.52 m    851.42 mm  
 375.00 MeV   1.603E-03  6.766E-07  128.43 m      5.01 m    962.59 mm  
 400.00 MeV   1.522E-03  6.375E-07  144.43 m      5.50 m      1.08 m   
 450.00 MeV   1.384E-03  5.719E-07  178.90 m      7.36 m      1.33 m   
 500.00 MeV   1.272E-03  5.189E-07  216.59 m      9.09 m      1.60 m   
 550.00 MeV   1.179E-03  4.752E-07  257.43 m     10.78 m      1.90 m   
 600.00 MeV   1.100E-03  4.385E-07  301.33 m     12.45 m      2.21 m   
 650.00 MeV   1.033E-03  4.073E-07  348.21 m     14.12 m      2.55 m   
 700.00 MeV   9.756E-04  3.803E-07  398.00 m     15.79 m      2.90 m   
 800.00 MeV   8.803E-04  3.361E-07  505.91 m     21.98 m      3.67 m   
 900.00 MeV   8.052E-04  3.014E-07  624.68 m     27.69 m      4.50 m   
   1.00 GeV   7.444E-04  2.733E-07  753.85 m     33.20 m      5.40 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  3.3709E+01                keV / (ug/cm2) 
  3.3709E+01                MeV / (mg/cm2) 
  3.3709E+04                keV / (mg/cm2) 
  2.1388E+02                 eV / (1E15 atoms/cm2)
  1.7013E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
